x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.35125 	0 	1.01177 	-0.0088818 	-0.0999994 	0	1.00391	-0.000272032	0	0.000272112	1.00391	0	0	0	1.00391	1.23384e-08	0.00102375	-6.21879e-07

-0.34875 	0 	1.01169 	-0.00879637 	-0.0999994 	0	1.00388	-0.000269348	0	0.000269428	1.00388	0	0	0	1.00388	5.08786e-09	0.00102522	-6.22194e-07

-0.34625 	0 	1.01162 	-0.00871087 	-0.0999994 	0	1.00386	-0.000266662	0	0.000266742	1.00386	0	0	0	1.00386	-3.96429e-08	0.00102655	-6.22595e-07

-0.34375 	0 	1.01154 	-0.00862533 	-0.0999994 	0	1.00383	-0.000263974	0	0.000264054	1.00383	0	0	0	1.00383	-1.43924e-07	0.00102749	-6.23112e-07

-0.34125 	0 	1.01146 	-0.00853979 	-0.0999994 	0	1.00381	-0.000261285	0	0.000261365	1.00381	0	0	0	1.00381	-3.22407e-07	0.00102773	-6.23457e-07

-0.33875 	0 	1.01139 	-0.00845431 	-0.0999994 	0	1.00378	-0.000258597	0	0.000258677	1.00378	0	0	0	1.00378	-5.13984e-07	0.00102705	-6.2338e-07

-0.33625 	0 	1.01131 	-0.00836897 	-0.0999994 	0	1.00376	-0.000255913	0	0.000255993	1.00376	0	0	0	1.00376	-6.64404e-07	0.00102555	-6.22874e-07

-0.33375 	0 	1.01123 	-0.00828381 	-0.0999994 	0	1.00373	-0.000253234	0	0.000253314	1.00373	0	0	0	1.00373	-7.75066e-07	0.0010234	-6.21928e-07

-0.33125 	0 	1.01116 	-0.00819888 	-0.0999994 	0	1.00371	-0.000250562	0	0.000250641	1.00371	0	0	0	1.00371	-8.4414e-07	0.00102081	-6.20585e-07

-0.32875 	0 	1.01108 	-0.00811418 	-0.0999994 	0	1.00368	-0.000247897	0	0.000247976	1.00368	0	0	0	1.00368	-8.63324e-07	0.00101802	-6.18927e-07

-0.32625 	0 	1.01101 	-0.00802974 	-0.0999994 	0	1.00366	-0.000245239	0	0.000245318	1.00366	0	0	0	1.00366	-8.33275e-07	0.00101529	-6.17068e-07

-0.32375 	0 	1.01093 	-0.00794552 	-0.0999994 	0	1.00363	-0.000242589	0	0.000242668	1.00363	0	0	0	1.00363	-7.59209e-07	0.00101287	-6.15146e-07

-0.32125 	0 	1.01086 	-0.0078615 	-0.0999994 	0	1.00361	-0.000239945	0	0.000240024	1.00361	0	0	0	1.00361	-6.44749e-07	0.00101097	-6.13318e-07

-0.31875 	0 	1.01078 	-0.00777764 	-0.0999995 	0	1.00358	-0.000237306	0	0.000237385	1.00358	0	0	0	1.00358	-5.11885e-07	0.00100974	-6.11664e-07

-0.31625 	0 	1.0107 	-0.00769388 	-0.0999995 	0	1.00356	-0.00023467	0	0.000234749	1.00356	0	0	0	1.00356	-4.02876e-07	0.00100917	-6.10179e-07

-0.31375 	0 	1.01063 	-0.00761018 	-0.0999995 	0	1.00353	-0.000232037	0	0.000232116	1.00353	0	0	0	1.00353	-3.19014e-07	0.00100918	-6.0921e-07

-0.31125 	0 	1.01055 	-0.00752651 	-0.0999995 	0	1.00351	-0.000229404	0	0.000229483	1.00351	0	0	0	1.00351	-2.29702e-07	0.0010097	-6.08743e-07

-0.30875 	0 	1.01048 	-0.00744283 	-0.0999995 	0	1.00348	-0.000226771	0	0.00022685	1.00348	0	0	0	1.00348	-1.44026e-07	0.00101067	-6.08448e-07

-0.30625 	0 	1.0104 	-0.00735912 	-0.0999995 	0	1.00346	-0.000224137	0	0.000224217	1.00346	0	0	0	1.00346	-9.37193e-08	0.00101196	-6.08391e-07

-0.30375 	0 	1.01033 	-0.00727536 	-0.0999995 	0	1.00343	-0.000221502	0	0.000221582	1.00343	0	0	0	1.00343	-9.85937e-08	0.00101334	-6.08515e-07

-0.30125 	0 	1.01025 	-0.00719156 	-0.0999995 	0	1.00341	-0.000218865	0	0.000218945	1.00341	0	0	0	1.00341	-1.64033e-07	0.00101451	-6.08768e-07

-0.29875 	0 	1.01018 	-0.00710776 	-0.0999995 	0	1.00338	-0.000216227	0	0.000216307	1.00338	0	0	0	1.00338	-3.33674e-07	0.00101503	-6.09125e-07

-0.29625 	0 	1.0101 	-0.00702404 	-0.0999995 	0	1.00336	-0.00021359	0	0.00021367	1.00336	0	0	0	1.00336	-6.02947e-07	0.00101447	-6.09125e-07

-0.29375 	0 	1.01002 	-0.00694048 	-0.0999995 	0	1.00333	-0.000210958	0	0.000211037	1.00333	0	0	0	1.00333	-8.60413e-07	0.00101271	-6.08498e-07

-0.29125 	0 	1.00995 	-0.00685717 	-0.0999995 	0	1.00331	-0.000208333	0	0.000208412	1.00331	0	0	0	1.0033	-1.06849e-06	0.00100984	-6.07362e-07

-0.28875 	0 	1.00987 	-0.00677419 	-0.0999995 	0	1.00328	-0.000205718	0	0.000205796	1.00328	0	0	0	1.00328	-1.23732e-06	0.00100602	-6.05609e-07

-0.28625 	0 	1.0098 	-0.0066916 	-0.0999995 	0	1.00326	-0.000203114	0	0.000203192	1.00326	0	0	0	1.00326	-1.34551e-06	0.00100149	-6.03283e-07

-0.28375 	0 	1.00972 	-0.00660942 	-0.0999995 	0	1.00323	-0.000200523	0	0.000200601	1.00323	0	0	0	1.00323	-1.3795e-06	0.000996608	-6.0048e-07

-0.28125 	0 	1.00965 	-0.00652768 	-0.0999995 	0	1.00321	-0.000197946	0	0.000198023	1.00321	0	0	0	1.00321	-1.33537e-06	0.000991755	-5.97364e-07

-0.27875 	0 	1.00957 	-0.00644634 	-0.0999995 	0	1.00318	-0.000195381	0	0.000195457	1.00318	0	0	0	1.00318	-1.22303e-06	0.000987326	-5.94135e-07

-0.27625 	0 	1.0095 	-0.00636536 	-0.0999995 	0	1.00316	-0.000192827	0	0.000192903	1.00316	0	0	0	1.00316	-1.05173e-06	0.000983663	-5.91017e-07

-0.27375 	0 	1.00943 	-0.00628466 	-0.0999995 	0	1.00313	-0.000190282	0	0.000190358	1.00313	0	0	0	1.00313	-8.29915e-07	0.000981015	-5.88222e-07

